"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","CR3032 Holder","ClockIt:CR2032 Holder",""
"2","C1, C2","2","22p","ClockIt:C_0805",""
"3","C3, C4, C5, C6, C7","5","100nF","ClockIt:C_0805",""
"4","C8","1","10uF","ClockIt:C_1206",""
"5","D1, D2, D3","3","1N5817","ClockIt:D_2010",""
"6","J1","1","Pin 1x5","ClockIt:PIN 1x05",""
"7","J4, J6","2","Pin 1x6","ClockIt:PIN 1x06",""
"8","J5, J8","2","PowerPad","ClockIt:Power Pin",""
"9","J7","1","AVR-ISP","ClockIt:PIN 2x03",""
"10","R1, R2, R3","3","10K","ClockIt:R_0805",""
"11","U2","1","DS1307","ClockIt:SOIC-8",""
"12","U3","1","ATmega328PB-QFP","ClockIt:TQFP-32",""
"13","Y1","1","16MHz","ClockIt:Crystal Vertical",""
"14","Y2","1","32.768KHz","ClockIt:Crystal Horizontal",""
